Integration Report

Project Name: ,Project 41,Type:,Residential,Location:,"London, England"
Quotation Number:,.0,Created by:,Anthony Carter,Document Revision:,
Lutron Designer 23.7.0.17651,,Created on:,"December 05, 2023",,

Device name,Model,href,Component,Component href,Component Name
,,,Button 8,/button/213831,
,,,Button 9,/button/213834,
,,,Button 10,/button/213837,
,,,Button 18,/button/213840,
,,,Button 19,/button/213842,
,,,Led 1,/led/213799,
,,,Led 2,/led/213800,
,,,Led 3,/led/213801,
,,,Led 4,/led/213802,
,,,Led 5,/led/213803,
,,,Led 6,/led/213804,
,,,Led 7,/led/213805,
,,,Led 8,/led/213806,
,,,Led 9,/led/213807,
,,,Led 10,/led/213808,
Ground Floor\‎Rack Build\‎Crestron Interface\‎Device 1,Phantom Keypad,/device/213856,Button 1,/button/214650,Off
,,,Button 2,/button/214655,On
,,,Led 001,/led/214649,
,,,Led 002,/led/214654,
Basement\‎Reception\‎by door\‎Control Station Device 001,HQWA-W5BRLN-WH,/device/3632,Button 1,/button/3644,All On
,,,Button 2,/button/3645,Evening
,,,Button 3,/button/3646,Lava
,,,Button 4,/button/3647,Relax
,,,Button 5,/button/3648,Off
,,,Button 18,/button/3649,
,,,Button 19,/button/3651,
,,,Led 1,/led/3638,
,,,Led 2,/led/3639,
,,,Led 3,/led/3640,
,,,Led 4,/led/3641,
,,,Led 5,/led/3642,
Basement\‎Reception\‎Crestron interface\‎Device 1,Phantom Keypad,/device/210395,Button 1,/button/212364,Off
,,,Button 2,/button/212369,Day
,,,Button 3,/button/212374,Entertain
,,,Button 4,/button/212379,Night
,,,Button 5,/button/212384,Relax
,,,Button 6,/button/212389,
,,,Button 7,/button/212394,
,,,Button 8,/button/212399,
,,,Button 9,/button/212404,Raise
,,,Button 10,/button/212409,Lower
,,,Led 001,/led/212363,
,,,Led 002,/led/212368,
,,,Led 003,/led/212373,
,,,Led 004,/led/212378,
,,,Led 005,/led/212383,
,,,Led 006,/led/212388,
,,,Led 007,/led/212393,
,,,Led 008,/led/212398,
,,,Led 009,/led/212403,
,,,Led 010,/led/212408,
Basement\‎Kitchen and Sitting Room\‎Kitchen Keypad\‎CSD 002,HQWT-S-P4W-CWH,/device/179849,Button 1,/button/179858,Day
,,,Button 2,/button/179861,Night
,,,Button 3,/button/179864,Entertain
,,,Button 4,/button/179867,Relax
,,,Led 1,/led/179853,
,,,Led 2,/led/179854,
,,,Led 3,/led/179855,
,,,Led 4,/led/179856,
Basement\‎Kitchen and Sitting Room\‎WPM 1 Back Stairs\‎CSD 001,LQRK-WPM-6PCE,/device/180682,Button 0,/button/180706,
,,,Led 1,/led/180704,
Basement\‎Kitchen and Sitting Room\‎Living Keypad\‎CSD 001,HQWT-S-P42W-SN,/device/185960,Button 1,/button/185972,Rollers Open
,,,Button 4,/button/191041,Rollers Close
,,,Button 5,/button/185986,Day
,,,Button 6,/button/185989,Night
,,,Button 7,/button/185992,Entertain
,,,Button 8,/button/185995,Relax
,,,Led 1,/led/185964,
,,,Led 2,/led/185965,
,,,Led 3,/led/185966,
,,,Led 4,/led/185967,
,,,Led 5,/led/185968,
,,,Led 6,/led/191040,
Basement\‎Kitchen and Sitting Room\‎Crestron Interface\‎Device 1,Phantom Keypad,/device/210400,Button 1,/button/212303,Off
,,,Button 2,/button/212308,Day
,,,Button 3,/button/212313,Entertain
,,,Button 4,/button/212318,Night
,,,Button 5,/button/212323,Relax
,,,Button 6,/button/212328,Roller Open
,,,Button 7,/button/212333,
,,,Button 8,/button/212338,
,,,Button 9,/button/212343,Raise
,,,Button 10,/button/212348,Lower
,,,Button 11,/button/212594,
,,,Button 12,/button/212599,Rollers Open
,,,Button 13,/button/212604,Rollers Close
,,,Button 14,/button/212609,Rollers Stop
,,,Led 001,/led/212302,
,,,Led 002,/led/212307,
,,,Led 003,/led/212312,
,,,Led 004,/led/212317,
,,,Led 005,/led/212322,
,,,Led 006,/led/212327,
,,,Led 007,/led/212332,
,,,Led 008,/led/212337,
,,,Led 009,/led/212342,
,,,Led 010,/led/212347,
,,,Led 011,/led/212593,
,,,Led 012,/led/212598,
,,,Led 013,/led/212603,
,,,Led 014,/led/212608,
Basement\‎Games Room\‎Crestron Interface\‎Device 1,Phantom Keypad,/device/210405,Button 1,/button/212242,Off
,,,Button 2,/button/212247,Day
,,,Button 3,/button/212252,Entertain
,,,Button 4,/button/212257,Night
,,,Button 5,/button/212262,Relax
,,,Button 6,/button/212267,
,,,Button 7,/button/212272,
,,,Button 8,/button/212277,
